close,epoch,high,low,open
1201.48,1749595560,1202.41,1200.27,1202.41
1200.68,1749595620,1202.08,1200.66,1201.9
1199.5,1749595680,1200.64,1199.05,1199.72
1198.07,1749595740,1199.45,1196.97,1199.34
1199.67,1749595800,1199.67,1198.21,1198.22
1200.2,1749595860,1201.11,1199.19,1199.48
1200.73,1749595920,1201.99,1199.41,1200.35
1200.34,1749595980,1200.79,1199.99,1200.75
1202.51,1749596040,1202.76,1200.08,1200.48
1202.77,1749596100,1203.03,1202.03,1202.51
1200.71,1749596160,1203.38,1200.71,1203.38
1199.16,1749596220,1201.79,1198.8,1200.61
1198.46,1749596280,1200.15,1197.23,1199.73
1197.29,1749596340,1199.12,1197.18,1198.4
1198.86,1749596400,1198.86,1197.02,1197.32
1200.27,1749596460,1200.27,1196.5,1198.38
1200.01,1749596520,1200.24,1199.18,1199.9
1199.64,1749596580,1200.51,1198.28,1200.39
1200.51,1749596640,1200.85,1198.36,1199.37
1199.25,1749596700,1200.68,1198.33,1200.68
1198.22,1749596760,1199.03,1196.68,1199.03
1196.74,1749596820,1200.58,1196.74,1198.43
1195.02,1749596880,1197.28,1194.45,1196.88
1195.6,1749596940,1196.17,1194.88,1194.89
1196.79,1749597000,1197.31,1195.64,1195.79
1199.82,1749597060,1199.9,1196.78,1196.9
1198.95,1749597120,1199.71,1197.4,1199.6
1198.75,1749597180,1199.48,1198.02,1199.12
1199.79,1749597240,1199.79,1197.49,1198.74
1196.64,1749597300,1199.97,1196.39,1199.97
1196.47,1749597360,1196.94,1195.35,1196.72
1196.74,1749597420,1197.18,1196.15,1196.53
1195.26,1749597480,1196.74,1194.86,1196.61
1195.97,1749597540,1197.11,1194.77,1194.77
1195.25,1749597600,1196.39,1194.93,1195.91
1195.04,1749597660,1195.4,1194.26,1195.25
1195.21,1749597720,1195.38,1194.28,1194.96
1195.55,1749597780,1196.75,1194.54,1194.91
1198.35,1749597840,1198.4,1195.26,1195.61
1198.56,1749597900,1199.8,1198.01,1198.07
1194.91,1749597960,1198.28,1194.8,1198.2
1195.32,1749598020,1197.14,1195.02,1195.35
1194.09,1749598080,1195.74,1193.98,1195.35
1196.02,1749598140,1196.45,1193.84,1193.84
1195.31,1749598200,1196.99,1195.17,1195.56
1199.17,1749598260,1199.17,1195.71,1195.71
1197.42,1749598320,1199.33,1196.67,1199.3
1196.26,1749598380,1198.69,1195.53,1197.97
1194.3,1749598440,1196.75,1193.85,1196.11
1196.24,1749598500,1196.24,1193.25,1193.85
1193.38,1749598560,1196.21,1193.38,1195.54
1191.0,1749598620,1193.34,1190.11,1193.34
1192.26,1749598680,1192.36,1191.16,1191.31
1189.4,1749598740,1192.45,1189.09,1192.45
1188.71,1749598800,1189.58,1188.64,1189.58
1189.18,1749598860,1189.31,1187.33,1188.2
1187.49,1749598920,1189.95,1187.49,1188.8
1187.38,1749598980,1188.26,1187.01,1187.74
1187.45,1749599040,1188.33,1187.01,1187.4
1188.41,1749599100,1188.41,1186.46,1187.54
1189.56,1749599160,1189.64,1187.47,1188.01
1187.04,1749599220,1188.8,1186.81,1188.8
1187.03,1749599280,1187.32,1185.26,1186.97
1185.78,1749599340,1187.76,1185.78,1187.1
1183.91,1749599400,1185.66,1183.26,1185.51
1184.56,1749599460,1185.16,1183.5,1183.52
1187.2,1749599520,1187.2,1184.41,1184.41
1183.53,1749599580,1187.66,1183.53,1186.75
1182.5,1749599640,1183.46,1182.34,1183.34
1181.49,1749599700,1182.26,1180.76,1182.07
1181.7,1749599760,1181.92,1180.45,1180.85
